isin	wkn	ticker	valor	name	inception_date	age_in_days	age_in_years	strategy	domicile_country	currency	hedged	securities_lending	dividends	ter	replication	size	is_sustainable	number_of_holdings	yesterday	last_week	last_month	last_three_months	last_six_months	last_year	last_three_years	last_five_years	2023	2022	2021	2020	last_dividends	last_year_dividends	last_year_volatility	last_three_years_volatility	last_five_years_volatility	last_year_return_per_risk	last_three_years_return_per_risk	last_five_years_return_per_risk	max_drawdown	last_year_max_drawdown	last_three_years_max_drawdown	last_five_years_max_drawdown
IE00B8GKDB10	A1T8FV	VGWD	20974572	Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing	2013-05-21	4152	11.375342465753425	Long-only	Ireland	USD	False	True	Distributing	0.29	Optimized sampling	4574	False	1990	14.44	1.26	1.61	4.87	6.34	19.02	33.09	51.98	7.64	0.09	27.72	-8.7	3.0	3.46	9.57	11.44	15.4	1.98	0.87	0.57	-35.26	-7.03	-9.96	-35.26
IE00B810Q511	A1JX54	VUKE	18575566	Vanguard FTSE 100 UCITS ETF Distributing	2012-05-22	4516	12.372602739726027	Long-only	Ireland	GBP	False	True	Distributing	0.09	Full replication	4549	False	100	15.12	-0.02	-0.03	4.14	8.96	17.11	35.13	43.57	9.98	-0.86	26.59	-16.35	3.64	4.11	10.4	13.7	18.78	1.64	0.77	0.4	-39.76	-5.9	-15.24	-39.76
IE00B0M63177	A0HGWC	IQQE	2308849	iShares MSCI EM UCITS ETF (Dist)	2005-11-18	6893	18.884931506849316	Long-only	Ireland	USD	False	True	Distributing	0.18	Full replication	4547	False	1220	15.12	2.78	5.5	4.06	9.94	19.25	4.96	27.83	5.84	-13.82	3.82	8.05	2.12	2.47	13.3	14.85	17.05	1.44	0.11	0.29	-59.08	-10.41	-23.29	-31.95
IE00B53L3W79	A0YEDJ	SXRT	10737573	iShares Core EURO STOXX 50 UCITS ETF EUR (Acc)	2010-01-26	5363	14.693150684931506	Long-only	Ireland	EUR	False	False	Accumulating	0.1	Full replication	4540	False	51	12.5	0.32	-0.02	0.72	-0.56	22.16	34.19	61.41	22.78	-9.2	23.53	-3.03			12.86	17.74	20.59	1.72	0.58	0.49	-38.24	-9.73	-23.36	-38.24
IE000XZSV718	A3EUC1	SPYL	129874161	SPDR S&P 500 UCITS ETF (Acc)	2023-10-31	337	0.9232876712328767	Long-only	Ireland	USD	False	True	Accumulating	0.03	Full replication	4512	False	503	20.42	0.08	1.21	1.38	6.47																-9.13			
IE00BHZPJ239	A2PCB0	EDM2	46193176	iShares MSCI EM ESG Enhanced UCITS ETF USD (Acc)	2019-10-22	1807	4.950684931506849	Long-only	Ireland	USD	False	False	Accumulating	0.18	Full replication	4468	True	1074	14.81	2.57	5.68	5.28	11.16	18.98	0.9		4.97	-16.27	4.73	9.32			13.62	14.97		1.39	0.02		-32.27	-10.05	-25.13	
JE00B1VS3770	A0N6XK	VZLD		WisdomTree Physical Gold	2007-04-24	6371	17.454794520547946	Long-only	Jersey	USD	False	False	Accumulating	0.39	Physically backed	4459	False		27.85	1.07	5.53	10.3	15.99	35.01	56.15	72.47	9.41	5.32	3.71	13.46			14.5	14.61	15.07	2.41	1.1	0.76	-37.53	-6.01	-11.92	-18.34
LU2009147757	DBX00S	XSXD	53060501	Xtrackers S&P 500 Swap UCITS ETF 1D	2022-06-08	847	2.3205479452054796	Long-only	Luxembourg	USD	False	False	Distributing	0.07	Swap based Unfunded	4400	False		20.51	0.09	1.26	1.47	6.67	29.11			21.79				1.16	1.48	13.21			2.2			-15.78	-9.12		
LU0274209237	DBX1ME	XMEU	2825415	Xtrackers MSCI Europe UCITS ETF 1C	2007-01-10	6475	17.73972602739726	Long-only	Luxembourg	USD	False	True	Accumulating	0.12	Full replication	4375	False	415	11.52	0.17	-0.62	1.82	3.42	18.73	27.06	52.41	16.0	-9.59	26.3	-3.41			11.62	16.2	18.79	1.61	0.51	0.47	-58.37	-7.38	-19.02	-35.81
IE00BYZTVT56	A142NT	OM3F	30593749	iShares EUR Corporate Bond ESG UCITS ETF (Dist)	2018-06-28	2288	6.2684931506849315	Long-only	Ireland	EUR	False	False	Distributing	0.15	Sampling	4349	True	2904	4.18	0.42	1.69	3.89	3.51	9.91	-3.86	-2.37	7.7	-13.84	-1.05	2.32	2.89	3.08	3.56	4.87	4.32	2.77	-0.27	-0.11	-17.27	-1.7	-16.48	-17.27
LU0274210672	DBX1MU	XMUS	2825453	Xtrackers MSCI USA Swap UCITS ETF 1C	2007-01-08	6477	17.745205479452054	Long-only	Luxembourg	USD	False	False	Accumulating	0.15	Swap based Unfunded	4337	False		20.06	0.02	1.23	1.45	6.32	28.79	39.85	104.79	22.41	-14.65	37.43	10.9			13.23	18.46	21.83	2.17	0.64	0.71	-51.42	-9.09	-18.26	-34.03
